Step,AgentID,x,y,Agent type,Issuetree
0,0,5,4,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,1,2,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,2,6,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,3,5,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,4,3,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,5,1,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.6, 0.328], [0.234, 0.95, 0.672], [0.22, 0.65, 0.244], [0.282, 0.35, 0.133], [0.382, 0.95, 0.298], [0.0, 0.95, 0.325], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,6,5,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.8, 0.653], [0.234, 0.5, 0.347], [0.22, 0.0, 0.199], [0.282, 0.0, 0.234], [0.382, 0.95, 0.312], [0.0, 0.85, 0.255], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,7,0,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.8, 0.653], [0.234, 0.5, 0.347], [0.22, 0.0, 0.199], [0.282, 0.0, 0.234], [0.382, 0.95, 0.312], [0.0, 0.85, 0.255], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,8,8,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.8, 0.653], [0.234, 0.5, 0.347], [0.22, 0.0, 0.199], [0.282, 0.0, 0.234], [0.382, 0.95, 0.312], [0.0, 0.85, 0.255], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,9,6,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.0, 0.05, 1.0], [0.244, 0.8, 0.653], [0.234, 0.5, 0.347], [0.22, 0.0, 0.199], [0.282, 0.0, 0.234], [0.382, 0.95, 0.312], [0.0, 0.85, 0.255], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,100,7,2,<class 'model_SM_agents.ElectorateAgent'>,
0,101,4,7,<class 'model_SM_agents.ElectorateAgent'>,
0,50,3,3,<class 'model_SM_agents.TruthAgent'>,
