,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0,724,0.7,0.7,0.3,5,5
1,1,0,0,0,218,120,98,0,724,0.7,0.7,0.3,5,5
2,2,0,0,0,218,118,100,0,724,0.7,0.7,0.3,5,5
3,3,0,0,0,111,68,43,0,724,0.7,0.7,0.3,5,5
4,4,0,0,0,59,33,26,0,724,0.7,0.7,0.3,5,5
5,5,0,0,0,75,43,32,0,724,0.7,0.7,0.3,5,5
6,6,0,0,0,43,27,16,0,724,0.7,0.7,0.25,5,5
7,7,0,0,0,182,100,82,0,724,0.7,0.7,0.25,5,5
8,8,0,0,0,182,103,79,0,724,0.7,0.7,0.25,5,5
9,9,0,0,0,182,102,80,0,724,0.7,0.7,0.25,5,5
10,10,0,0,0,60,34,26,0,724,0.7,0.7,0.25,5,5
11,11,0,0,0,75,43,32,0,724,0.7,0.7,0.2,5,5
12,12,2,2,0,43,27,16,0,724,0.7,0.7,0.2,5,5
13,13,1,1,0,145,79,66,0,724,0.7,0.7,0.2,5,5
14,14,1,1,0,145,78,67,0,724,0.7,0.7,0.2,5,5
15,15,11,11,0,145,87,58,0,724,0.7,0.7,0.2,5,5
16,16,10,10,0,109,54,55,0,724,0.7,0.7,0.15000000000000002,5,5
17,17,0,0,0,109,66,43,0,724,0.7,0.7,0.15000000000000002,5,5
18,18,0,0,0,71,45,26,0,724,0.7,0.7,0.15000000000000002,5,5
19,19,0,0,0,109,60,49,0,724,0.7,0.7,0.15000000000000002,5,5
20,20,0,0,0,109,62,47,0,724,0.7,0.7,0.15000000000000002,5,5
