Step,AgentID,x,y,Agent type,Issuetree
0,0,6,0,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.8, 0.626], [0.009, 0.5, 0.374], [0.0, 0.0, 0.184], [0.007, 0.0, 0.186], [0.0, 0.95, 0.351], [0.022, 0.85, 0.279], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,1,0,6,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.398], [0.009, 0.95, 0.602], [0.0, 0.65, 0.254], [0.007, 0.35, 0.188], [0.0, 0.95, 0.294], [0.022, 0.95, 0.264], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,2,7,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.398], [0.009, 0.95, 0.602], [0.0, 0.65, 0.254], [0.007, 0.35, 0.188], [0.0, 0.95, 0.294], [0.022, 0.95, 0.264], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,3,7,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.398], [0.009, 0.95, 0.602], [0.0, 0.65, 0.254], [0.007, 0.35, 0.188], [0.0, 0.95, 0.294], [0.022, 0.95, 0.264], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,4,6,4,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.398], [0.009, 0.95, 0.602], [0.0, 0.65, 0.254], [0.007, 0.35, 0.188], [0.0, 0.95, 0.294], [0.022, 0.95, 0.264], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,5,9,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.8, 0.626], [0.009, 0.5, 0.374], [0.0, 0.0, 0.184], [0.007, 0.0, 0.186], [0.0, 0.95, 0.351], [0.022, 0.85, 0.279], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,6,0,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.8, 0.626], [0.009, 0.5, 0.374], [0.0, 0.0, 0.184], [0.007, 0.0, 0.186], [0.0, 0.95, 0.351], [0.022, 0.85, 0.279], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,7,4,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.8, 0.626], [0.009, 0.5, 0.374], [0.0, 0.0, 0.184], [0.007, 0.0, 0.186], [0.0, 0.95, 0.351], [0.022, 0.85, 0.279], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,8,0,0,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.8, 0.626], [0.009, 0.5, 0.374], [0.0, 0.0, 0.184], [0.007, 0.0, 0.186], [0.0, 0.95, 0.351], [0.022, 0.85, 0.279], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,100,4,2,<class 'model_SM_agents.ElectorateAgent'>,
0,101,3,0,<class 'model_SM_agents.ElectorateAgent'>,
0,50,4,4,<class 'model_SM_agents.TruthAgent'>,
0,10,8,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.4], [0.009, 0.95, 0.6], [0.0, 0.65, 0.226], [0.007, 0.35, 0.119], [0.0, 0.95, 0.331], [0.022, 0.95, 0.323], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
0,11,5,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.176, 0.05, 1.0], [0.003, 0.6, 0.4], [0.009, 0.95, 0.6], [0.0, 0.65, 0.226], [0.007, 0.35, 0.119], [0.0, 0.95, 0.331], [0.022, 0.95, 0.323], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
