,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,315,0.7,0.5,0.3,5,5
1,1,1,1,0,95,55,40,0.13589743589743591,315,0.7,0.5,0.3,5,5
2,2,1,1,0,95,54,41,0.1737179487179487,315,0.7,0.5,0.3,5,5
3,3,7,7,0,52,36,16,0.2096153846153846,315,0.7,0.5,0.3,5,5
4,4,10,10,0,24,19,5,0.17243589743589743,315,0.7,0.5,0.3,5,5
5,5,12,12,0,32,18,14,0.20384615384615382,315,0.7,0.5,0.3,5,5
6,6,16,16,0,14,10,4,0.19743589743589743,315,0.7,0.55,0.3,5,5
7,7,15,15,0,93,53,40,0.20256410256410257,315,0.7,0.55,0.3,5,5
8,8,11,11,0,94,53,41,0.1942307692307692,315,0.7,0.55,0.3,5,5
9,9,1,1,0,58,42,16,0.18461538461538465,315,0.7,0.55,0.3,5,5
10,10,4,4,0,24,19,5,0.18461538461538463,315,0.7,0.55,0.3,5,5
11,11,0,0,0,32,18,14,0.20064102564102562,315,0.7,0.5,0.3,5,5
12,12,1,1,0,13,9,4,0.20769230769230768,315,0.7,0.5,0.3,5,5
13,13,4,4,0,93,53,40,0.14038461538461533,315,0.7,0.5,0.3,5,5
14,14,17,17,0,88,47,41,0.15384615384615383,315,0.7,0.5,0.3,5,5
15,15,3,3,0,65,49,16,0.1576923076923077,315,0.7,0.5,0.3,5,5
16,16,1,1,0,24,19,5,0.16089743589743583,315,0.7,0.55,0.3,5,5
17,17,11,11,0,32,18,14,0.1858974358974359,315,0.7,0.55,0.3,5,5
18,18,11,11,0,13,9,4,0.18269230769230765,315,0.7,0.55,0.3,5,5
19,19,6,6,0,93,53,40,0.15256410256410255,315,0.7,0.55,0.3,5,5
20,20,2,2,0,88,47,41,0.22499999999999998,315,0.7,0.55,0.3,5,5
21,21,12,10,2,63,47,16,0.20256410256410254,315,0.7,0.5,0.3,5,5
22,22,6,6,0,24,19,5,0.20769230769230768,315,0.7,0.5,0.3,5,5
23,23,2,2,0,34,20,14,0.19038461538461537,315,0.7,0.5,0.3,5,5
24,24,0,0,0,13,9,4,0.19230769230769224,315,0.7,0.5,0.3,5,5
25,25,2,2,0,93,53,40,0.22051282051282045,315,0.7,0.5,0.3,5,5
26,26,6,6,0,85,44,41,0.19294871794871793,315,0.7,0.55,0.3,5,5
27,27,1,1,0,65,49,16,0.12884615384615383,315,0.7,0.55,0.3,5,5
28,28,0,0,0,25,20,5,0.11474358974358972,315,0.7,0.55,0.3,5,5
29,29,2,2,0,34,20,14,0.08653846153846152,315,0.7,0.55,0.3,5,5
30,30,1,1,0,13,9,4,0.11858974358974358,315,0.7,0.55,0.3,5,5
31,31,58,58,0,82,42,40,0.15769230769230766,315,0.6499999999999999,0.55,0.3,5,5
32,32,54,54,0,83,42,41,0.15256410256410258,315,0.6499999999999999,0.55,0.3,5,5
33,33,52,52,0,61,45,16,0.20769230769230765,315,0.6499999999999999,0.55,0.3,5,5
34,34,61,61,0,19,14,5,0.17243589743589743,315,0.6499999999999999,0.55,0.3,5,5
35,35,46,46,0,35,21,14,0.18397435897435893,315,0.6499999999999999,0.55,0.3,5,5
36,36,135,135,0,5,1,4,0.1724358974358974,315,0.5999999999999999,0.55,0.3,5,5
37,37,135,135,0,50,10,40,0.21282051282051279,315,0.5999999999999999,0.55,0.3,5,5
38,38,134,134,0,68,27,41,0.2051282051282051,315,0.5999999999999999,0.55,0.3,5,5
39,39,138,138,0,54,38,16,0.16538461538461538,315,0.5999999999999999,0.55,0.3,5,5
40,40,133,133,0,21,16,5,0.21089743589743593,315,0.5999999999999999,0.55,0.3,5,5
41,41,144,140,4,29,15,14,0.25256410256410255,315,0.5999999999999999,0.5,0.3,5,5
42,42,151,141,10,4,0,4,0.24423076923076922,315,0.5999999999999999,0.5,0.3,5,5
43,43,167,142,25,38,5,33,0.2871794871794872,315,0.5999999999999999,0.5,0.3,5,5
44,44,181,144,37,46,16,30,0.3397435897435897,315,0.5999999999999999,0.5,0.3,5,5
45,45,198,154,44,32,19,13,0.42435897435897435,315,0.5999999999999999,0.5,0.3,5,5
46,46,222,153,69,17,15,2,0.4378205128205129,315,0.5999999999999999,0.45,0.3,5,5
47,47,231,160,71,16,8,8,0.47820512820512817,315,0.5999999999999999,0.45,0.3,5,5
48,48,231,157,74,4,2,2,0.4916666666666666,315,0.5999999999999999,0.45,0.3,5,5
49,49,244,158,86,25,7,18,0.5532051282051282,315,0.5999999999999999,0.45,0.3,5,5
50,50,262,165,97,26,9,17,0.6217948717948717,315,0.5999999999999999,0.45,0.3,5,5
51,51,267,169,98,11,7,4,0.6288461538461537,315,0.5499999999999998,0.45,0.3,5,5
52,52,272,171,101,11,10,1,0.6493589743589743,315,0.5499999999999998,0.45,0.3,5,5
53,53,278,174,104,9,4,5,0.6846153846153846,315,0.5499999999999998,0.45,0.3,5,5
54,54,278,174,104,0,0,0,0.6846153846153846,315,0.5499999999999998,0.45,0.3,5,5
55,55,281,176,105,14,7,7,0.7115384615384616,315,0.5499999999999998,0.45,0.3,5,5
56,56,284,180,104,12,3,9,0.7333333333333333,315,0.49999999999999983,0.45,0.3,5,5
57,57,287,182,105,5,3,2,0.7519230769230769,315,0.49999999999999983,0.45,0.3,5,5
58,58,292,187,105,8,8,0,0.7570512820512822,315,0.49999999999999983,0.45,0.3,5,5
59,59,293,186,107,2,0,2,0.7653846153846156,315,0.49999999999999983,0.45,0.3,5,5
60,60,293,186,107,0,0,0,0.7653846153846156,315,0.49999999999999983,0.45,0.3,5,5
61,61,296,187,109,9,3,6,0.782051282051282,315,0.49999999999999983,0.45,0.25,5,5
62,62,304,190,114,8,2,6,0.7923076923076923,315,0.49999999999999983,0.45,0.25,5,5
63,63,305,190,115,3,2,1,0.8025641025641025,315,0.49999999999999983,0.45,0.25,5,5
64,64,307,192,115,2,2,0,0.8076923076923076,315,0.49999999999999983,0.45,0.25,5,5
65,65,308,192,116,1,0,1,0.8076923076923076,315,0.49999999999999983,0.45,0.25,5,5
66,66,307,192,115,0,0,0,0.8076923076923076,315,0.49999999999999983,0.45,0.2,5,5
67,67,311,194,117,5,2,3,0.8179487179487179,315,0.49999999999999983,0.45,0.2,5,5
68,68,313,194,119,3,1,2,0.8397435897435896,315,0.49999999999999983,0.45,0.2,5,5
69,69,315,195,120,2,1,1,0.8397435897435896,315,0.49999999999999983,0.45,0.2,5,5
70,70,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.2,5,5
71,71,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.15000000000000002,5,5
72,72,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.15000000000000002,5,5
73,73,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.15000000000000002,5,5
74,74,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.15000000000000002,5,5
75,75,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.15000000000000002,5,5
76,76,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.10000000000000002,5,5
77,77,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.10000000000000002,5,5
78,78,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.10000000000000002,5,5
79,79,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.10000000000000002,5,5
80,80,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.10000000000000002,5,5
81,81,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.05000000000000002,5,5
82,82,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.05000000000000002,5,5
83,83,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.05000000000000002,5,5
84,84,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.05000000000000002,5,5
85,85,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,0.05000000000000002,5,5
86,86,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
87,87,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
88,88,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
89,89,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
90,90,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
91,91,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
92,92,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
93,93,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
94,94,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
95,95,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
96,96,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
97,97,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
98,98,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
99,99,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
100,100,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
101,101,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
102,102,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
103,103,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
104,104,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
105,105,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
106,106,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
107,107,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
108,108,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
109,109,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
110,110,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
111,111,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
112,112,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
113,113,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
114,114,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
115,115,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
116,116,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
117,117,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
118,118,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
119,119,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
120,120,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
121,121,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
122,122,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
123,123,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
124,124,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
125,125,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
126,126,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
127,127,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
128,128,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
129,129,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
130,130,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
131,131,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
132,132,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
133,133,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
134,134,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
135,135,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
136,136,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
137,137,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
138,138,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
139,139,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
140,140,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
141,141,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
142,142,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
143,143,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
144,144,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
145,145,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
146,146,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
147,147,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
148,148,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
149,149,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
150,150,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
151,151,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
152,152,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
153,153,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
154,154,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
155,155,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
156,156,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
157,157,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
158,158,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
159,159,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
160,160,315,195,120,0,0,0,0.8397435897435896,315,0.49999999999999983,0.45,1.3877787807814457e-17,5,5
